label,category,UUID,URI
raised,sewingSupports - position,63972a5a-5baf-4377-9116-d238e6822b0f,http://w3id.org/bod-vocabs/63972a5a-5baf-4377-9116-d238e6822b0f
recessed,sewingSupports - position,df406d8f-6ad7-43a4-ab55-64eef24eadf0,http://w3id.org/bod-vocabs/df406d8f-6ad7-43a4-ab55-64eef24eadf0
external,sewingSupports - position,92e41080-f1e5-4aac-af1d-19bc28a47a01,http://w3id.org/bod-vocabs/92e41080-f1e5-4aac-af1d-19bc28a47a01
sawn-in,sewingSupports - position,06a06c2d-e87c-4661-aba2-e6834d97f96f,http://w3id.org/bod-vocabs/06a06c2d-e87c-4661-aba2-e6834d97f96f
single,sewingSupports - formation,0e718ebf-a885-44b1-a39e-8343565cd460,http://w3id.org/bod-vocabs/0e718ebf-a885-44b1-a39e-8343565cd460
double,sewingSupports - formation,510421cb-ab66-41ef-aef7-9e20fb3df0ec,http://w3id.org/bod-vocabs/510421cb-ab66-41ef-aef7-9e20fb3df0ec
piercedHole,sewing - spineFoldPreparation,4ceb535e-e443-401c-9ff6-b10c92d953cc,http://w3id.org/bod-vocabs/4ceb535e-e443-401c-9ff6-b10c92d953cc
knifeCut,sewing - spineFoldPreparation,cbca68e0-e494-4c7b-8a58-3824de8b0008,http://w3id.org/bod-vocabs/cbca68e0-e494-4c7b-8a58-3824de8b0008
vNick,sewing - spineFoldPreparation,c6a1a4bf-68fc-46f7-b54f-12f275034407,http://w3id.org/bod-vocabs/c6a1a4bf-68fc-46f7-b54f-12f275034407
all-along,sewing - sewingTechnique,8c7bbf34-410a-465f-8ce7-6b86663d5b7e,http://w3id.org/bod-vocabs/8c7bbf34-410a-465f-8ce7-6b86663d5b7e
abbreviated,sewing - sewingTechnique,71bcd771-89db-4ce6-930e-0b632df92fa2,http://w3id.org/bod-vocabs/71bcd771-89db-4ce6-930e-0b632df92fa2
overcasting,sewing - sewingTechnique,0c46ec2c-da78-4cd1-879d-f748cf78e65f,http://w3id.org/bod-vocabs/0c46ec2c-da78-4cd1-879d-f748cf78e65f
two-on,sewing - sewingTechnique,d4054d73-7538-401f-8469-a66d07abad30,http://w3id.org/bod-vocabs/d4054d73-7538-401f-8469-a66d07abad30
'herring bone',sewing - sewingTechnique,a65693a9-16ec-43cb-be88-d2c176e1e052,http://w3id.org/bod-vocabs/a65693a9-16ec-43cb-be88-d2c176e1e052
uncut,edges - formation,74be352b-996f-49bf-b3ac-337d8eb3ee65,http://w3id.org/bod-vocabs/74be352b-996f-49bf-b3ac-337d8eb3ee65
trimmed,edges - formation,b23e7a47-00ba-489a-a359-4aa7a6f9d7b9,http://w3id.org/bod-vocabs/b23e7a47-00ba-489a-a359-4aa7a6f9d7b9
cut,edges - formation,6f1f9251-1365-42ad-bcaf-c272ab4742ee,http://w3id.org/bod-vocabs/6f1f9251-1365-42ad-bcaf-c272ab4742ee
plain,decoration - type,2a9e8edc-d025-49f7-8b84-89732e31b27d,http://w3id.org/bod-vocabs/2a9e8edc-d025-49f7-8b84-89732e31b27d
Edge Coloring,decoration - type,3f468f0a-cd25-42dc-b8b3-d91a74678785,http://w3id.org/bod-vocabs/3f468f0a-cd25-42dc-b8b3-d91a74678785
Fore-Edge Painting,decoration - type,51380d02-9835-4762-b404-c9323b0926bd,http://w3id.org/bod-vocabs/51380d02-9835-4762-b404-c9323b0926bd
panel,spineLining - type,93465413-1c05-48ab-93b1-8270dd47c1e6,http://w3id.org/bod-vocabs/93465413-1c05-48ab-93b1-8270dd47c1e6
tube hollow,spineLining - type,b8b50d98-01a0-4a46-a2ce-fee75684745c,http://w3id.org/bod-vocabs/b8b50d98-01a0-4a46-a2ce-fee75684745c
slight round,spine - spineShape,b4ec704d-b6c7-4146-846b-e416d7d1211b,http://w3id.org/bod-vocabs/b4ec704d-b6c7-4146-846b-e416d7d1211b
flat,spine - spineShape,c0ec05f9-2fbb-4c0f-8b98-491defa508b7,http://w3id.org/bod-vocabs/c0ec05f9-2fbb-4c0f-8b98-491defa508b7
round,spine - spineShape,0b3dcdaf-d2b5-4195-9087-c74e5d918bf8,http://w3id.org/bod-vocabs/0b3dcdaf-d2b5-4195-9087-c74e5d918bf8
quadrant,spine - backingJoints,5909a1cc-0273-43d6-ae61-44dabb4799d1,http://w3id.org/bod-vocabs/5909a1cc-0273-43d6-ae61-44dabb4799d1
slight,spine - backingJoints,f394c85c-871d-49e5-8681-9e955a6377bf,http://w3id.org/bod-vocabs/f394c85c-871d-49e5-8681-9e955a6377bf
square,spine - backingJoints,e27aede2-cd61-4844-8fc2-5df3b70a3492,http://w3id.org/bod-vocabs/e27aede2-cd61-4844-8fc2-5df3b70a3492
angled,spine - backingJoints,e8661105-81f5-48db-9b5b-e44b8bdffa31,http://w3id.org/bod-vocabs/e8661105-81f5-48db-9b5b-e44b8bdffa31
hollowBack,spine - spineFeatures,b8c9f433-93f8-457e-9679-2d6048332279,http://w3id.org/bod-vocabs/b8c9f433-93f8-457e-9679-2d6048332279
tightBack,spine - spineFeatures,72ffc298-d107-45df-8a47-0836fa7a206c,http://w3id.org/bod-vocabs/72ffc298-d107-45df-8a47-0836fa7a206c
frequent,endband - tieDownSpecification,ce9de802-0887-48dc-9887-703c62c11015,http://w3id.org/bod-vocabs/ce9de802-0887-48dc-9887-703c62c11015
infrequent,endband - tieDownSpecification,9142d48b-3103-4b89-84da-3e1f1776d701,http://w3id.org/bod-vocabs/9142d48b-3103-4b89-84da-3e1f1776d701
all,endband - tieDownSpecification,56ae6fab-859f-46d8-afe3-18908ca60a18,http://w3id.org/bod-vocabs/56ae6fab-859f-46d8-afe3-18908ca60a18
case,cover - type,f338e1dd-f8f9-40d7-95a6-697a1bda4d4d,http://w3id.org/bod-vocabs/f338e1dd-f8f9-40d7-95a6-697a1bda4d4d
in board,cover - type,8af6f697-da85-4d3d-bc10-cb8f5769913f,http://w3id.org/bod-vocabs/8af6f697-da85-4d3d-bc10-cb8f5769913f
full,cover - coverExtent,33ec9861-4111-4077-aa90-6d6711e9a7bd,http://w3id.org/bod-vocabs/33ec9861-4111-4077-aa90-6d6711e9a7bd
half,cover - coverExtent,86986943-2e7c-4179-8516-1d41cb447a79,http://w3id.org/bod-vocabs/86986943-2e7c-4179-8516-1d41cb447a79
quarter,cover - coverExtent,ae2b58d0-cf3e-4784-ab8f-d555faa8a01d,http://w3id.org/bod-vocabs/ae2b58d0-cf3e-4784-ab8f-d555faa8a01d
tooling,decoration - type,ecc4460c-537c-48ec-a9ba-e499f641d25a,http://w3id.org/bod-vocabs/ecc4460c-537c-48ec-a9ba-e499f641d25a
stamping,decoration - type,7a074081-e8d5-4062-81c3-870db161e54e,http://w3id.org/bod-vocabs/7a074081-e8d5-4062-81c3-870db161e54e
blind,decoration - decorationSpecification,8ca27940-53a5-4b2b-948b-f3ee9c7bc9e6,http://w3id.org/bod-vocabs/8ca27940-53a5-4b2b-948b-f3ee9c7bc9e6
gold,decoration - decorationSpecification,0c958998-e29f-4b7f-b606-ce23f3c2751e,http://w3id.org/bod-vocabs/0c958998-e29f-4b7f-b606-ce23f3c2751e
